n	QS	HS	MS	
0	0	0	0	
1000	0	0.001	0	
2000	0	0	0.001	
3000	0	0.001	0	
4000	0	0.001	0	
5000	0	0.001	0.001	
6000	0.001	0.002	0.001	
7000	0	0.001	0.001	
8000	0.001	0.001	0.001	
9000	0.001	0.002	0.001	
10000	0.001	0.002	0.002	
11000	0.001	0.002	0.002	
12000	0.002	0.002	0.002	
13000	0.002	0.003	0.002	
14000	0.002	0.003	0.002	
