n	QS	HS	MS	
5000	0	0	0	
10000	0	0	0	
15000	0	0	0	
20000	0	0	0.015	
25000	0	0	0	
30000	0	0	0	
35000	0	0	0	
40000	0	0	0.016	
45000	0	0	0	
50000	0	0	0	
55000	0.016	0	0	
60000	0	0	0	
65000	0.015	0	0	
70000	0	0	0.016	
75000	0	0	0	
80000	0.015	0	0	
85000	0	0	0.016	
90000	0	0	0.016	
95000	0	0	0	
100000	0.015	0	0	
105000	0.016	0	0	
110000	0.016	0	0	
115000	0.015	0	0	
120000	0.016	0	0	
125000	0.015	0	0.016	
130000	0	0	0.016	
135000	0	0	0.015	
140000	0	0.016	0	
145000	0.016	0	0.015	
150000	0	0	0.016	
	
