n,BS,HS,CS,SHS
1000,0.004,0,0,0
2000,0.016,0,0,0.012
3000,0.032,0,0,0.02
4000,0.06,0,0,0.036
5000,0.092,0,0,0.06
6000,0.135,0,0,0.084
7000,0.186,0,0,0.111
8000,0.249,0,0,0.149
9000,0.316,0.004,0,0.185
10000,0.395,0.002,0,0.229
11000,0.485,0,0,0.278
12000,0.579,0.006,0,0.323
13000,0.687,0.004,0,0.383
14000,0.804,0.004,0,0.444
15000,0.918,0.003,0,0.516
