data_structure,no_elements,operation,time
BBST,190000,delete,0.079
BBST,200000,append,0.25
BBST,200000,search,0.079
BBST,200000,delete,0.078
BBST,210000,append,0.265
BBST,210000,search,0.094
BBST,210000,delete,0.078
BBST,220000,append,0.281
BBST,220000,search,0.078
BBST,220000,delete,0.078
BBST,230000,append,0.297
BBST,230000,search,0.094
BBST,230000,delete,0.093
BBST,240000,append,0.313
BBST,240000,search,0.093
BBST,240000,delete,0.094
BBST,250000,append,0.312
BBST,250000,search,0.109
BBST,250000,delete,0.11
BBST,260000,append,0.329
BBST,260000,search,0.11
BBST,260000,delete,0.109
BBST,270000,append,0.343
BBST,270000,search,0.125
BBST,270000,delete,0.11
BBST,280000,append,0.359
BBST,280000,search,0.125
BBST,280000,delete,0.125
BBST,290000,append,0.375
BBST,290000,search,0.125
BBST,290000,delete,0.125
BBST,300000,append,0.39
BBST,300000,search,0.141
BBST,300000,delete,0.125
BBST,310000,append,0.422
BBST,310000,search,0.125
BBST,310000,delete,0.141
BBST,320000,append,0.406
BBST,320000,search,0.14
BBST,320000,delete,0.141
BBST,330000,append,0.422
BBST,330000,search,0.156
BBST,330000,delete,0.141
BBST,340000,append,0.437
BBST,340000,search,0.156
BBST,340000,delete,0.157
BBST,350000,append,0.453
BBST,350000,search,0.156
BBST,350000,delete,0.172
BBST,360000,append,0.469
BBST,360000,search,0.172
BBST,360000,delete,0.172
BBST,370000,append,0.484
BBST,370000,search,0.172
BBST,370000,delete,0.172
BBST,380000,append,0.515
BBST,380000,search,0.188
BBST,380000,delete,0.172
BBST,390000,append,0.5
BBST,390000,search,0.188
BBST,390000,delete,0.187
BBST,400000,append,0.515
BBST,400000,search,0.203
BBST,400000,delete,0.188
BBST,410000,append,0.547
BBST,410000,search,0.187
BBST,410000,delete,0.203
BBST,420000,append,0.547
BBST,420000,search,0.203
BBST,420000,delete,0.203
BBST,430000,append,0.562
BBST,430000,search,0.219
BBST,430000,delete,0.203
BBST,440000,append,0.578
BBST,440000,search,0.203
BBST,440000,delete,0.219
BBST,450000,append,0.624
BBST,450000,search,0.219
BBST,450000,delete,0.234
BBST,460000,append,0.609
BBST,460000,search,0.235
BBST,460000,delete,0.218
BBST,470000,append,0.625
BBST,470000,search,0.218
BBST,470000,delete,0.25
BBST,480000,append,0.624
BBST,480000,search,0.235
BBST,480000,delete,0.235
BBST,490000,append,0.656
BBST,490000,search,0.235
BBST,490000,delete,0.249
BBST,500000,append,0.672
BBST,500000,search,0.249
BBST,500000,delete,0.25


