n,sat,algorithm,time
10,0.2,HC,0
10,0.3,HC,0
10,0.4,HC,0
10,0.6,HC,0
10,0.8,HC,0
10,0.95,HC,0
20,0.2,HC,0
20,0.3,HC,0
20,0.4,HC,0
20,0.6,HC,0
20,0.8,HC,0
20,0.95,HC,0
30,0.2,HC,0
30,0.3,HC,0
30,0.4,HC,0
30,0.6,HC,0.001
30,0.8,HC,0
30,0.95,HC,0
40,0.2,HC,0.002
40,0.3,HC,0
40,0.4,HC,0.001
40,0.6,HC,0.001
40,0.8,HC,0.001
40,0.95,HC,0.001
50,0.2,HC,0.002
50,0.3,HC,0.002
50,0.4,HC,0.001
50,0.6,HC,0.001
50,0.8,HC,0.002
50,0.95,HC,0.001
60,0.2,HC,0.001
60,0.3,HC,0.015
60,0.4,HC,0.001
60,0.6,HC,0.001
60,0.8,HC,0.002
60,0.95,HC,0.002
70,0.2,HC,0.13
70,0.3,HC,0.001
70,0.4,HC,0.002
70,0.6,HC,0.003
70,0.8,HC,0.003
70,0.95,HC,0.003
80,0.2,HC,0.014
80,0.3,HC,0.003
80,0.4,HC,0.003
80,0.6,HC,0.004
80,0.8,HC,0.005
80,0.95,HC,0.005
90,0.2,HC,0.171
90,0.3,HC,0.003
90,0.4,HC,0.014
90,0.6,HC,0.007
90,0.8,HC,0.007
90,0.95,HC,0.007
100,0.2,HC,0.006
100,0.3,HC,0.005
100,0.4,HC,0.006
100,0.6,HC,0.009
100,0.8,HC,0.009
100,0.95,HC,0.01
110,0.2,HC,0.007
110,0.3,HC,0.006
110,0.4,HC,0.009
110,0.6,HC,0.012
110,0.8,HC,0.012
110,0.95,HC,0.012
120,0.2,HC,0.022
120,0.3,HC,0.04
120,0.4,HC,0.01
120,0.6,HC,0.014
120,0.8,HC,0.018
120,0.95,HC,0.017
130,0.2,HC,0.099
130,0.3,HC,0.011
130,0.4,HC,0.017
130,0.6,HC,0.019
130,0.8,HC,0.02
130,0.95,HC,0.02
140,0.2,HC,1
140,0.3,HC,0.518
140,0.4,HC,0.017
140,0.6,HC,0.022
140,0.8,HC,0.025
140,0.95,HC,0.026
150,0.2,HC,0.016
150,0.3,HC,0.152
150,0.4,HC,0.021
150,0.6,HC,0.027
150,0.8,HC,0.031
150,0.95,HC,0.032
160,0.2,HC,0.019
160,0.3,HC,1
160,0.4,HC,0.026
160,0.6,HC,0.035
160,0.8,HC,0.043
160,0.95,HC,0.038
170,0.2,HC,1
170,0.3,HC,0.027
170,0.4,HC,0.032
170,0.6,HC,0.04
170,0.8,HC,0.044
170,0.95,HC,0.046
180,0.2,HC,0.046
180,0.3,HC,0.035
180,0.4,HC,0.039
180,0.6,HC,0.046
180,0.8,HC,0.052
180,0.95,HC,0.054
190,0.2,HC,0.059
190,0.3,HC,0.035
190,0.4,HC,0.044
