n,sat,algorithm,time
190,0.6,HC,0.054
190,0.8,HC,0.062
190,0.95,HC,0.066
200,0.2,HC,1
200,0.3,HC,0.039
200,0.4,HC,0.052
200,0.6,HC,0.062
200,0.8,HC,0.072
200,0.95,HC,0.074
210,0.2,HC,1
210,0.3,HC,0.047
210,0.4,HC,0.064
210,0.6,HC,0.076
210,0.8,HC,0.085
210,0.95,HC,0.085
220,0.2,HC,0.121
220,0.3,HC,0.055
220,0.4,HC,0.064
220,0.6,HC,0.084
220,0.8,HC,0.134
220,0.95,HC,0.098
230,0.2,HC,1
230,0.3,HC,0.064
230,0.4,HC,0.105
230,0.6,HC,0.129
230,0.8,HC,0.109
230,0.95,HC,0.111
240,0.2,HC,1
240,0.3,HC,0.076
240,0.4,HC,0.106
240,0.6,HC,0.115
240,0.8,HC,0.163
240,0.95,HC,0.128
250,0.2,HC,0.053
250,0.3,HC,0.093
250,0.4,HC,0.437
250,0.6,HC,0.121
250,0.8,HC,0.143
250,0.95,HC,0.144
260,0.2,HC,1
260,0.3,HC,0.42
260,0.4,HC,0.108
260,0.6,HC,0.136
260,0.8,HC,0.158
260,0.95,HC,0.164
270,0.2,HC,0.133
270,0.3,HC,0.106
270,0.4,HC,0.161
270,0.6,HC,0.155
270,0.8,HC,0.177
270,0.95,HC,0.181
280,0.2,HC,0.19
280,0.3,HC,0.376
280,0.4,HC,0.145
280,0.6,HC,0.172
280,0.8,HC,0.199
280,0.95,HC,0.201
290,0.2,HC,0.33
290,0.3,HC,0.177
290,0.4,HC,0.147
290,0.6,HC,0.191
290,0.8,HC,0.217
290,0.95,HC,0.226
300,0.2,HC,1
300,0.3,HC,0.142
300,0.4,HC,0.162
300,0.6,HC,0.211
300,0.8,HC,0.246
300,0.95,HC,0.273
310,0.2,HC,0.922
310,0.3,HC,0.2
310,0.4,HC,0.229
310,0.6,HC,0.236
310,0.8,HC,0.269
310,0.95,HC,0.277
320,0.2,HC,0.172
320,0.3,HC,0.168
320,0.4,HC,0.197
320,0.6,HC,0.263
320,0.8,HC,0.339
320,0.95,HC,0.306
330,0.2,HC,1
330,0.3,HC,1
330,0.4,HC,0.247
330,0.6,HC,0.283
330,0.8,HC,0.322
330,0.95,HC,0.332
340,0.2,HC,1
340,0.3,HC,0.236
340,0.4,HC,0.248
340,0.6,HC,0.308
340,0.8,HC,0.363
340,0.95,HC,0.364
350,0.2,HC,0.155
350,0.3,HC,0.218
350,0.4,HC,0.281
350,0.6,HC,0.337
350,0.8,HC,0.378
350,0.95,HC,0.499
360,0.2,HC,0.196
360,0.3,HC,1
360,0.4,HC,0.282
360,0.6,HC,0.368
360,0.8,HC,0.499
360,0.95,HC,0.434
370,0.2,HC,1
370,0.3,HC,0.259
370,0.4,HC,0.33
370,0.6,HC,0.396
370,0.8,HC,0.472
370,0.95,HC,0.47
380,0.2,HC,0.505
380,0.3,HC,0.287
380,0.4,HC,0.366
380,0.6,HC,0.432
380,0.8,HC,0.487
380,0.95,HC,0.5
390,0.2,HC,1
390,0.3,HC,0.299
390,0.4,HC,0.357
390,0.6,HC,0.46
390,0.8,HC,0.534
390,0.95,HC,0.546
400,0.2,HC,1
400,0.3,HC,1
400,0.4,HC,0.39
400,0.6,HC,0.563
400,0.8,HC,0.584
400,0.95,HC,0.588
410,0.2,HC,1
410,0.3,HC,0.36
410,0.4,HC,0.427
410,0.6,HC,0.6
410,0.8,HC,0.637
410,0.95,HC,0.776
420,0.2,HC,0.345
420,0.3,HC,0.4
420,0.4,HC,0.445
420,0.6,HC,0.586
420,0.8,HC,0.667
420,0.95,HC,0.708
430,0.2,HC,0.284
430,0.3,HC,0.415
430,0.4,HC,0.486
430,0.6,HC,0.669
430,0.8,HC,0.86
430,0.95,HC,0.787
440,0.2,HC,1
440,0.3,HC,0.673
440,0.4,HC,0.576
440,0.6,HC,0.696
440,0.8,HC,0.769
440,0.95,HC,0.854
450,0.2,HC,0.357
450,0.3,HC,0.44
450,0.4,HC,0.988
450,0.6,HC,0.724
450,0.8,HC,0.814
450,0.95,HC,0.962
460,0.2,HC,1
460,0.3,HC,0.527
460,0.4,HC,0.62
460,0.6,HC,0.81
460,0.8,HC,0.918
460,0.95,HC,1
470,0.2,HC,1
470,0.3,HC,0.674
470,0.4,HC,0.781
470,0.6,HC,0.88
470,0.8,HC,1
470,0.95,HC,1
480,0.2,HC,1
480,0.3,HC,1
480,0.4,HC,0.74
480,0.6,HC,0.935
480,0.8,HC,1
480,0.95,HC,1
490,0.2,HC,1
490,0.3,HC,1
490,0.4,HC,1
490,0.6,HC,0.974
490,0.8,HC,1
490,0.95,HC,1
500,0.2,HC,1
500,0.3,HC,1
500,0.4,HC,1
500,0.6,HC,1
500,0.8,HC,1
500,0.95,HC,1
510,0.2,HC,1
510,0.3,HC,1
510,0.4,HC,0.838
510,0.6,HC,1
510,0.8,HC,1
510,0.95,HC,1
520,0.2,HC,1
520,0.3,HC,0.715
520,0.4,HC,0.932
520,0.6,HC,1
520,0.8,HC,1
520,0.95,HC,1
530,0.2,HC,1
530,0.3,HC,0.855
530,0.4,HC,0.887
530,0.6,HC,1
530,0.8,HC,1
530,0.95,HC,1
540,0.2,HC,1
540,0.3,HC,1
540,0.4,HC,1
540,0.6,HC,1
540,0.8,HC,1
540,0.95,HC,1
550,0.2,HC,0.927
550,0.3,HC,1
550,0.4,HC,1
550,0.6,HC,1
550,0.8,HC,1
550,0.95,HC,1
560,0.2,HC,1
560,0.3,HC,1
560,0.4,HC,1
560,0.6,HC,1
560,0.8,HC,1
560,0.95,HC,1
570,0.2,HC,1
570,0.3,HC,1
570,0.4,HC,1
570,0.6,HC,1
570,0.8,HC,1
570,0.95,HC,1
580,0.2,HC,1
580,0.3,HC,1
580,0.4,HC,1
580,0.6,HC,1
580,0.8,HC,1
580,0.95,HC,1
590,0.2,HC,1
590,0.3,HC,0.988
590,0.4,HC,1
590,0.6,HC,1
590,0.8,HC,1
590,0.95,HC,1
600,0.2,HC,1
600,0.3,HC,1
600,0.4,HC,1
600,0.6,HC,1
600,0.8,HC,1
600,0.95,HC,1
610,0.2,HC,1
610,0.3,HC,1
610,0.4,HC,1
610,0.6,HC,1
610,0.8,HC,1
610,0.95,HC,1
620,0.2,HC,1
620,0.3,HC,1
620,0.4,HC,1
620,0.6,HC,1
620,0.8,HC,1
620,0.95,HC,1
630,0.2,HC,1
630,0.3,HC,1
630,0.4,HC,1
630,0.6,HC,1
630,0.8,HC,1
630,0.95,HC,1
640,0.2,HC,1
640,0.3,HC,1
640,0.4,HC,1
640,0.6,HC,1
640,0.8,HC,1
640,0.95,HC,1
650,0.2,HC,1
650,0.3,HC,1
650,0.4,HC,1
650,0.6,HC,1
650,0.8,HC,1
650,0.95,HC,1
660,0.2,HC,1
660,0.3,HC,1
660,0.4,HC,1
