n,sat,algorithm,time
170,0.2,HC,0.104
170,0.3,HC,0.025
170,0.4,HC,0.031
170,0.6,HC,0.041
170,0.8,HC,0.045
170,0.95,HC,0.066
180,0.2,HC,0.226
180,0.3,HC,0.03
180,0.4,HC,0.037
180,0.6,HC,0.047
180,0.8,HC,0.052
180,0.95,HC,0.054
190,0.2,HC,0.042
190,0.3,HC,0.034
190,0.4,HC,0.068
190,0.6,HC,0.054
190,0.8,HC,0.061
190,0.95,HC,0.065
200,0.2,HC,0.201
200,0.3,HC,0.227
200,0.4,HC,0.048
200,0.6,HC,0.064
200,0.8,HC,0.071
200,0.95,HC,0.073
210,0.2,HC,0.372
210,0.3,HC,1
210,0.4,HC,0.056
210,0.6,HC,0.073
210,0.8,HC,0.083
210,0.95,HC,0.089
220,0.2,HC,0.113
220,0.3,HC,0.118
220,0.4,HC,0.293
220,0.6,HC,0.083
220,0.8,HC,0.094
220,0.95,HC,0.101
230,0.2,HC,0.07
230,0.3,HC,0.456
230,0.4,HC,0.098
230,0.6,HC,0.097
230,0.8,HC,0.111
230,0.95,HC,0.113
240,0.2,HC,1
240,0.3,HC,0.085
240,0.4,HC,0.102
240,0.6,HC,0.108
240,0.8,HC,0.127
240,0.95,HC,0.13
250,0.2,HC,1
250,0.3,HC,0.177
250,0.4,HC,0.098
250,0.6,HC,0.123
250,0.8,HC,0.14
250,0.95,HC,0.145
260,0.2,HC,0.583
260,0.3,HC,0.096
260,0.4,HC,0.15
260,0.6,HC,0.162
260,0.8,HC,0.163
260,0.95,HC,0.165
270,0.2,HC,0.314
270,0.3,HC,0.099
270,0.4,HC,0.118
270,0.6,HC,0.159
270,0.8,HC,0.177
270,0.95,HC,0.186
280,0.2,HC,1
280,0.3,HC,0.107
280,0.4,HC,0.142
280,0.6,HC,0.173
280,0.8,HC,0.196
280,0.95,HC,0.206
290,0.2,HC,0.123
290,0.3,HC,0.126
290,0.4,HC,0.158
290,0.6,HC,0.194
290,0.8,HC,0.222
290,0.95,HC,0.258
300,0.2,HC,0.202
300,0.3,HC,0.128
300,0.4,HC,0.195
300,0.6,HC,0.226
300,0.8,HC,0.242
300,0.95,HC,0.25
310,0.2,HC,0.106
310,0.3,HC,0.145
310,0.4,HC,0.19
310,0.6,HC,0.237
310,0.8,HC,0.269
310,0.95,HC,0.282
320,0.2,HC,1
320,0.3,HC,0.302
320,0.4,HC,0.199
320,0.6,HC,0.337
320,0.8,HC,0.299
320,0.95,HC,0.318
330,0.2,HC,0.166
330,0.3,HC,0.241
330,0.4,HC,0.272
330,0.6,HC,0.331
330,0.8,HC,0.337
330,0.95,HC,0.355
340,0.2,HC,0.279
340,0.3,HC,1
340,0.4,HC,1
340,0.6,HC,0.316
340,0.8,HC,0.361
340,0.95,HC,0.379
350,0.2,HC,0.336
350,0.3,HC,0.215
350,0.4,HC,0.32
350,0.6,HC,0.339
350,0.8,HC,0.39
350,0.95,HC,0.457
360,0.2,HC,0.239
360,0.3,HC,0.236
360,0.4,HC,0.362
360,0.6,HC,0.376
360,0.8,HC,0.42
360,0.95,HC,0.491
370,0.2,HC,0.18
370,0.3,HC,1
370,0.4,HC,0.425
370,0.6,HC,0.496
370,0.8,HC,0.453
370,0.95,HC,0.476
380,0.2,HC,1
380,0.3,HC,0.314
380,0.4,HC,0.355
380,0.6,HC,0.439
380,0.8,HC,0.487
380,0.95,HC,0.574
390,0.2,HC,1
390,0.3,HC,0.433
390,0.4,HC,0.377
390,0.6,HC,0.478
390,0.8,HC,0.649
390,0.95,HC,0.57
400,0.2,HC,1
400,0.3,HC,0.57
400,0.4,HC,0.399
400,0.6,HC,0.526
400,0.8,HC,0.578
400,0.95,HC,0.708
410,0.2,HC,1
410,0.3,HC,1
410,0.4,HC,1
410,0.6,HC,0.703
