n,sat,algorithm,time
10,0.2,HC,0
10,0.3,HC,0
10,0.4,HC,0
10,0.6,HC,0
10,0.8,HC,0
10,0.95,HC,0
20,0.2,HC,0.004
20,0.3,HC,0
20,0.4,HC,0
20,0.6,HC,0
20,0.8,HC,0
20,0.95,HC,0
30,0.2,HC,0
30,0.3,HC,0.001
30,0.4,HC,0
30,0.6,HC,0
30,0.8,HC,0
30,0.95,HC,0.001
40,0.2,HC,71.623
40,0.3,HC,0.015
40,0.4,HC,0.001
40,0.6,HC,0
40,0.8,HC,0
40,0.95,HC,0.001
50,0.2,HC,300
50,0.3,HC,0.002
50,0.4,HC,0.001
50,0.6,HC,0.001
50,0.8,HC,0.001
50,0.95,HC,0.002
60,0.2,HC,0.021
60,0.3,HC,0.002
60,0.4,HC,0.002
60,0.6,HC,0.002
60,0.8,HC,0.002
60,0.95,HC,0.002
70,0.2,HC,0.03
70,0.3,HC,0.003
70,0.4,HC,0.002
70,0.6,HC,0.004
70,0.8,HC,0.003
70,0.95,HC,0.005
80,0.2,HC,0.022
80,0.3,HC,0.007
80,0.4,HC,0.004
80,0.6,HC,0.004
80,0.8,HC,0.004
80,0.95,HC,0.004
90,0.2,HC,0.083
90,0.3,HC,0.005
90,0.4,HC,0.005
90,0.6,HC,0.006
90,0.8,HC,0.007
90,0.95,HC,0.008
100,0.2,HC,0.008
100,0.3,HC,2.424
100,0.4,HC,0.007
100,0.6,HC,0.008
100,0.8,HC,0.01
100,0.95,HC,0.01
110,0.2,HC,0.019
110,0.3,HC,0.012
110,0.4,HC,0.009
110,0.6,HC,0.011
110,0.8,HC,0.012
110,0.95,HC,0.014
120,0.2,HC,2.635
120,0.3,HC,0.01
120,0.4,HC,0.016
120,0.6,HC,0.014
120,0.8,HC,0.018
120,0.95,HC,0.017
130,0.2,HC,0.009
130,0.3,HC,0.011
130,0.4,HC,0.013
130,0.6,HC,0.017
130,0.8,HC,0.02
130,0.95,HC,0.021
140,0.2,HC,0.019
140,0.3,HC,1.224
140,0.4,HC,0.017
140,0.6,HC,0.023
140,0.8,HC,0.025
140,0.95,HC,0.025
150,0.2,HC,0.013
150,0.3,HC,0.017
150,0.4,HC,0.022
150,0.6,HC,0.027
150,0.8,HC,0.03
150,0.95,HC,0.031
160,0.2,HC,0.019
160,0.3,HC,0.648
160,0.4,HC,0.028
160,0.6,HC,0.033
160,0.8,HC,0.039
160,0.95,HC,0.04
170,0.2,HC,300
170,0.3,HC,0.063
170,0.4,HC,0.029
170,0.6,HC,0.042
170,0.8,HC,0.045
170,0.95,HC,0.047
180,0.2,HC,2.43
180,0.3,HC,0.411
180,0.4,HC,0.08
180,0.6,HC,0.048
180,0.8,HC,0.054
180,0.95,HC,0.057
190,0.2,HC,0.35
190,0.3,HC,0.034
