n,sat,algorithm,time
190,0.4,HC,0.042
190,0.6,HC,0.055
190,0.8,HC,0.065
190,0.95,HC,0.066
200,0.2,HC,0.344
200,0.3,HC,0.047
200,0.4,HC,0.064
200,0.6,HC,0.081
200,0.8,HC,0.072
200,0.95,HC,0.077
210,0.2,HC,0.097
210,0.3,HC,0.376
210,0.4,HC,0.069
210,0.6,HC,0.074
210,0.8,HC,0.084
210,0.95,HC,0.087
220,0.2,HC,300
220,0.3,HC,0.053
220,0.4,HC,0.076
220,0.6,HC,0.086
220,0.8,HC,0.096
220,0.95,HC,0.1
230,0.2,HC,0.284
230,0.3,HC,0.061
230,0.4,HC,0.075
230,0.6,HC,0.099
230,0.8,HC,0.112
230,0.95,HC,0.115
240,0.2,HC,2.292
240,0.3,HC,0.068
240,0.4,HC,0.085
240,0.6,HC,0.116
240,0.8,HC,0.154
240,0.95,HC,0.13
250,0.2,HC,0.102
250,0.3,HC,0.104
250,0.4,HC,0.691
250,0.6,HC,0.125
250,0.8,HC,0.161
250,0.95,HC,0.149
260,0.2,HC,0.061
260,0.3,HC,0.086
260,0.4,HC,0.153
260,0.6,HC,0.144
260,0.8,HC,0.163
260,0.95,HC,0.165
270,0.2,HC,0.07
270,0.3,HC,0.113
270,0.4,HC,0.134
270,0.6,HC,0.156
270,0.8,HC,0.178
270,0.95,HC,0.187
280,0.2,HC,0.085
280,0.3,HC,0.114
280,0.4,HC,0.157
280,0.6,HC,0.178
280,0.8,HC,0.202
280,0.95,HC,0.261
290,0.2,HC,0.131
290,0.3,HC,0.121
290,0.4,HC,0.151
290,0.6,HC,0.201
290,0.8,HC,0.228
290,0.95,HC,0.23
300,0.2,HC,3.663
300,0.3,HC,0.135
300,0.4,HC,0.244
300,0.6,HC,0.223
300,0.8,HC,0.248
300,0.95,HC,0.285
310,0.2,HC,0.153
310,0.3,HC,0.405
310,0.4,HC,0.214
310,0.6,HC,0.342
310,0.8,HC,0.278
310,0.95,HC,0.28
320,0.2,HC,0.163
320,0.3,HC,0.208
320,0.4,HC,0.252
320,0.6,HC,0.269
320,0.8,HC,0.3
320,0.95,HC,0.309
330,0.2,HC,0.51
330,0.3,HC,0.188
330,0.4,HC,0.232
330,0.6,HC,0.287
330,0.8,HC,0.328
330,0.95,HC,0.337
340,0.2,HC,0.149
340,0.3,HC,0.317
340,0.4,HC,0.241
340,0.6,HC,0.315
340,0.8,HC,0.356
340,0.95,HC,0.373
350,0.2,HC,0.147
350,0.3,HC,51.723
350,0.4,HC,0.283
350,0.6,HC,0.344
350,0.8,HC,0.397
350,0.95,HC,0.407
360,0.2,HC,300
360,0.3,HC,0.258
360,0.4,HC,0.43
360,0.6,HC,0.375
360,0.8,HC,0.537
360,0.95,HC,0.451
370,0.2,HC,0.308
370,0.3,HC,0.293
370,0.4,HC,0.36
370,0.6,HC,0.409
370,0.8,HC,0.627
370,0.95,HC,0.478
380,0.2,HC,1.789
380,0.3,HC,0.333
380,0.4,HC,0.642
380,0.6,HC,0.446
380,0.8,HC,0.508
380,0.95,HC,0.529
390,0.2,HC,0.233
390,0.3,HC,0.371
390,0.4,HC,0.367
390,0.6,HC,0.48
390,0.8,HC,0.541
390,0.95,HC,0.569
400,0.2,HC,5.539
400,0.3,HC,0.677
400,0.4,HC,0.507
400,0.6,HC,0.525
400,0.8,HC,0.581
400,0.95,HC,0.709
410,0.2,HC,56.06
410,0.3,HC,300
410,0.4,HC,0.831
410,0.6,HC,0.548
410,0.8,HC,0.638
410,0.95,HC,0.656
420,0.2,HC,0.265
420,0.3,HC,0.382
420,0.4,HC,0.452
420,0.6,HC,0.605
420,0.8,HC,0.677
420,0.95,HC,0.832
430,0.2,HC,36.317
430,0.3,HC,0.397
430,0.4,HC,0.622
430,0.6,HC,0.642
430,0.8,HC,0.747
430,0.95,HC,0.764
440,0.2,HC,1.603
440,0.3,HC,0.421
440,0.4,HC,0.528
440,0.6,HC,0.693
440,0.8,HC,0.871
440,0.95,HC,0.963
450,0.2,HC,24.861
450,0.3,HC,0.84
450,0.4,HC,0.573
450,0.6,HC,0.752
450,0.8,HC,0.954
450,0.95,HC,0.871
460,0.2,HC,300
460,0.3,HC,0.776
460,0.4,HC,0.59
460,0.6,HC,0.779
460,0.8,HC,0.988
460,0.95,HC,0.922
470,0.2,HC,0.427
470,0.3,HC,0.525
470,0.4,HC,0.657
470,0.6,HC,0.839
470,0.8,HC,0.956
470,0.95,HC,0.987
480,0.2,HC,0.435
480,0.3,HC,3.566
480,0.4,HC,0.69
480,0.6,HC,0.892
480,0.8,HC,1.097
480,0.95,HC,1.053
490,0.2,HC,32.131
490,0.3,HC,0.604
490,0.4,HC,0.972
490,0.6,HC,1.088
490,0.8,HC,1.087
490,0.95,HC,1.186
500,0.2,HC,0.445
500,0.3,HC,0.715
500,0.4,HC,0.852
500,0.6,HC,1.079
500,0.8,HC,1.131
500,0.95,HC,1.277
10,0.2,HC,0
10,0.3,HC,0
10,0.4,HC,0
10,0.6,HC,0
10,0.8,HC,0
10,0.95,HC,0
20,0.2,HC,0.001
20,0.3,HC,0
20,0.4,HC,0
20,0.6,HC,0
20,0.8,HC,0
20,0.95,HC,0
30,0.2,HC,0
30,0.3,HC,0.001
30,0.4,HC,0.001
30,0.6,HC,0
30,0.8,HC,0
30,0.95,HC,0.001
40,0.2,HC,0.017
40,0.3,HC,0.001
40,0.4,HC,0.001
40,0.6,HC,0.001
40,0.8,HC,0.001
40,0.95,HC,0.001
50,0.2,HC,0.384
50,0.3,HC,0
50,0.4,HC,0.005
50,0.6,HC,0.001
50,0.8,HC,0.001
50,0.95,HC,0.002
60,0.2,HC,0.001
60,0.3,HC,0.021
60,0.4,HC,0.007
60,0.6,HC,0.002
60,0.8,HC,0.002
60,0.95,HC,0.002
70,0.2,HC,0.058
70,0.3,HC,0.004
70,0.4,HC,0.018
70,0.6,HC,0.002
70,0.8,HC,0.003
70,0.95,HC,0.003
80,0.2,HC,2.868
80,0.3,HC,0.003
80,0.4,HC,0.004
80,0.6,HC,0.004
80,0.8,HC,0.004
80,0.95,HC,0.004
90,0.2,HC,0.155
90,0.3,HC,0.009
90,0.4,HC,0.006
90,0.6,HC,0.006
90,0.8,HC,0.007
90,0.95,HC,0.007
100,0.2,HC,0.004
100,0.3,HC,0.006
100,0.4,HC,0.006
100,0.6,HC,0.008
100,0.8,HC,0.009
100,0.95,HC,0.01
110,0.2,HC,0.095
110,0.3,HC,0.008
110,0.4,HC,0.008
110,0.6,HC,0.012
110,0.8,HC,0.012
110,0.95,HC,0.013
120,0.2,HC,0.785
120,0.3,HC,0.011
120,0.4,HC,0.011
120,0.6,HC,0.015
120,0.8,HC,0.017
120,0.95,HC,0.016
130,0.2,HC,300
130,0.3,HC,0.012
130,0.4,HC,0.022
130,0.6,HC,0.018
130,0.8,HC,0.021
130,0.95,HC,0.026
140,0.2,HC,0.013
140,0.3,HC,0.028
140,0.4,HC,0.023
140,0.6,HC,0.022
140,0.8,HC,0.026
140,0.95,HC,0.025
150,0.2,HC,300
150,0.3,HC,0.027
150,0.4,HC,0.059
150,0.6,HC,0.027
150,0.8,HC,0.031
150,0.95,HC,0.032
160,0.2,HC,8.302
160,0.3,HC,0.02
160,0.4,HC,0.03
160,0.6,HC,0.033
160,0.8,HC,0.039
160,0.95,HC,0.038
170,0.2,HC,0.724
170,0.3,HC,0.036
170,0.4,HC,0.031
170,0.6,HC,0.041
170,0.8,HC,0.047
170,0.95,HC,0.047
180,0.2,HC,0.111
180,0.3,HC,0.061
180,0.4,HC,0.119
180,0.6,HC,0.046
180,0.8,HC,0.053
180,0.95,HC,0.055
190,0.2,HC,0.038
190,0.3,HC,0.036
190,0.4,HC,0.098
190,0.6,HC,0.081
190,0.8,HC,0.062
190,0.95,HC,0.066
200,0.2,HC,0.196
200,0.3,HC,0.04
200,0.4,HC,0.055
200,0.6,HC,0.064
200,0.8,HC,0.073
200,0.95,HC,0.08
210,0.2,HC,0.036
210,0.3,HC,0.244
210,0.4,HC,0.06
210,0.6,HC,0.098
210,0.8,HC,0.088
210,0.95,HC,0.126
220,0.2,HC,300
220,0.3,HC,0.056
220,0.4,HC,0.116
220,0.6,HC,0.089
220,0.8,HC,0.099
220,0.95,HC,0.103
230,0.2,HC,64.797
230,0.3,HC,0.063
230,0.4,HC,0.077
230,0.6,HC,0.101
230,0.8,HC,0.114
230,0.95,HC,0.13
240,0.2,HC,0.109
240,0.3,HC,0.068
240,0.4,HC,0.189
240,0.6,HC,0.117
240,0.8,HC,0.125
240,0.95,HC,0.129
250,0.2,HC,0.113
250,0.3,HC,0.09
250,0.4,HC,0.094
250,0.6,HC,0.126
250,0.8,HC,0.145
250,0.95,HC,0.15
260,0.2,HC,300
260,0.3,HC,0.181
260,0.4,HC,0.108
260,0.6,HC,0.142
260,0.8,HC,0.182
260,0.95,HC,0.166
270,0.2,HC,300
270,0.3,HC,0.119
270,0.4,HC,0.162
270,0.6,HC,0.159
270,0.8,HC,0.187
270,0.95,HC,0.193
280,0.2,HC,0.161
280,0.3,HC,0.157
280,0.4,HC,0.153
280,0.6,HC,0.176
280,0.8,HC,0.202
280,0.95,HC,0.211
290,0.2,HC,0.116
290,0.3,HC,0.121
290,0.4,HC,0.153
290,0.6,HC,0.2
290,0.8,HC,0.231
290,0.95,HC,0.236
300,0.2,HC,0.162
300,0.3,HC,0.23
300,0.4,HC,0.288
300,0.6,HC,0.256
300,0.8,HC,0.27
300,0.95,HC,0.259
310,0.2,HC,0.132
310,0.3,HC,5.478
310,0.4,HC,0.327
310,0.6,HC,0.403
310,0.8,HC,0.423
310,0.95,HC,0.41
320,0.2,HC,0.17
320,0.3,HC,0.292
320,0.4,HC,0.268
320,0.6,HC,0.349
320,0.8,HC,0.38
320,0.95,HC,0.433
330,0.2,HC,300
330,0.3,HC,0.263
330,0.4,HC,0.247
330,0.6,HC,0.31
330,0.8,HC,0.334
330,0.95,HC,0.342
340,0.2,HC,0.291
340,0.3,HC,0.268
340,0.4,HC,0.242
340,0.6,HC,0.476
340,0.8,HC,0.371
340,0.95,HC,0.384
350,0.2,HC,1.052
350,0.3,HC,0.494
350,0.4,HC,0.318
350,0.6,HC,0.35
350,0.8,HC,0.394
350,0.95,HC,0.439
360,0.2,HC,300
360,0.3,HC,0.255
360,0.4,HC,0.412
360,0.6,HC,0.402
360,0.8,HC,0.469
360,0.95,HC,0.54
370,0.2,HC,0.512
370,0.3,HC,3.143
370,0.4,HC,0.408
370,0.6,HC,0.479
370,0.8,HC,0.56
370,0.95,HC,0.544
380,0.2,HC,158.226
380,0.3,HC,0.382
380,0.4,HC,0.347
380,0.6,HC,0.436
380,0.8,HC,0.514
380,0.95,HC,0.698
390,0.2,HC,300
390,0.3,HC,0.447
390,0.4,HC,0.554
390,0.6,HC,0.935
390,0.8,HC,1.621
390,0.95,HC,1.208
400,0.2,HC,25.528
400,0.3,HC,0.424
400,0.4,HC,0.564
400,0.6,HC,0.845
400,0.8,HC,0.581
400,0.95,HC,0.633
410,0.2,HC,0.296
410,0.3,HC,0.346
410,0.4,HC,0.479
410,0.6,HC,0.644
410,0.8,HC,0.728
410,0.95,HC,0.731
420,0.2,HC,0.324
420,0.3,HC,0.38
420,0.4,HC,0.672
420,0.6,HC,0.703
420,0.8,HC,0.725
420,0.95,HC,0.707
430,0.2,HC,1.813
430,0.3,HC,1.52
430,0.4,HC,0.721
430,0.6,HC,0.681
430,0.8,HC,0.76
430,0.95,HC,0.771
440,0.2,HC,0.407
440,0.3,HC,0.444
440,0.4,HC,0.54
440,0.6,HC,0.733
440,0.8,HC,0.834
440,0.95,HC,0.844
450,0.2,HC,2.242
450,0.3,HC,0.457
450,0.4,HC,0.686
450,0.6,HC,0.816
450,0.8,HC,0.849
450,0.95,HC,0.973
460,0.2,HC,300
460,0.3,HC,4.668
460,0.4,HC,0.609
460,0.6,HC,0.976
460,0.8,HC,0.894
460,0.95,HC,1.047
470,0.2,HC,0.453
470,0.3,HC,1.381
470,0.4,HC,0.727
470,0.6,HC,1.172
470,0.8,HC,1.348
470,0.95,HC,1.007
480,0.2,HC,0.517
480,0.3,HC,1.773
480,0.4,HC,0.77
480,0.6,HC,0.93
480,0.8,HC,1.063
480,0.95,HC,1.222
490,0.2,HC,2.029
490,0.3,HC,1.381
490,0.4,HC,1.119
490,0.6,HC,1.35
490,0.8,HC,1.158
490,0.95,HC,1.239
500,0.2,HC,6.285
500,0.3,HC,1.251
500,0.4,HC,0.803
500,0.6,HC,1.061
500,0.8,HC,1.179
500,0.95,HC,1.309
10,0.2,HC,0
10,0.3,HC,0
10,0.4,HC,0
10,0.6,HC,0
10,0.8,HC,0
10,0.95,HC,0
20,0.2,HC,0
20,0.3,HC,0
20,0.4,HC,0
20,0.6,HC,0
20,0.8,HC,0
20,0.95,HC,0
30,0.2,HC,0.007
30,0.3,HC,0
30,0.4,HC,0
30,0.6,HC,0.001
30,0.8,HC,0.001
30,0.95,HC,0
40,0.2,HC,0
40,0.3,HC,0.002
40,0.4,HC,0.001
40,0.6,HC,0.001
40,0.8,HC,0.001
40,0.95,HC,0.002
50,0.2,HC,0.001
50,0.3,HC,0
50,0.4,HC,0.001
50,0.6,HC,0.001
50,0.8,HC,0.002
50,0.95,HC,0.001
60,0.2,HC,0.001
60,0.3,HC,0.001
60,0.4,HC,0.002
60,0.6,HC,0.002
60,0.8,HC,0.003
60,0.95,HC,0.002
70,0.2,HC,0.056
70,0.3,HC,0.002
70,0.4,HC,0.012
70,0.6,HC,0.003
70,0.8,HC,0.004
70,0.95,HC,0.004
80,0.2,HC,300
80,0.3,HC,0.004
80,0.4,HC,0.004
80,0.6,HC,0.013
80,0.8,HC,0.009
80,0.95,HC,0.008
90,0.2,HC,0.129
90,0.3,HC,0.004
90,0.4,HC,0.004
90,0.6,HC,0.007
90,0.8,HC,0.007
90,0.95,HC,0.008
100,0.2,HC,0.021
100,0.3,HC,0.161
100,0.4,HC,0.006
100,0.6,HC,0.012
100,0.8,HC,0.01
100,0.95,HC,0.011
110,0.2,HC,0.025
110,0.3,HC,0.019
110,0.4,HC,0.009
110,0.6,HC,0.012
110,0.8,HC,0.013
110,0.95,HC,0.014
120,0.2,HC,0.426
120,0.3,HC,0.012
120,0.4,HC,0.016
120,0.6,HC,0.014
120,0.8,HC,0.017
120,0.95,HC,0.018
130,0.2,HC,115.521
130,0.3,HC,0.033
130,0.4,HC,0.016
130,0.6,HC,0.018
130,0.8,HC,0.021
130,0.95,HC,0.02
140,0.2,HC,0.023
140,0.3,HC,0.017
140,0.4,HC,0.018
140,0.6,HC,0.023
140,0.8,HC,0.025
140,0.95,HC,0.025
150,0.2,HC,0.076
150,0.3,HC,5.603
150,0.4,HC,0.023
150,0.6,HC,0.026
150,0.8,HC,0.03
150,0.95,HC,0.032
160,0.2,HC,0.034
160,0.3,HC,0.024
160,0.4,HC,0.032
160,0.6,HC,0.033
160,0.8,HC,0.039
160,0.95,HC,0.038
170,0.2,HC,0.021
170,0.3,HC,0.032
170,0.4,HC,0.037
170,0.6,HC,0.038
170,0.8,HC,0.045
170,0.95,HC,0.047
180,0.2,HC,0.157
180,0.3,HC,0.047
180,0.4,HC,0.055
180,0.6,HC,0.047
180,0.8,HC,0.075
180,0.95,HC,0.056
190,0.2,HC,0.09
190,0.3,HC,0.04
190,0.4,HC,0.621
190,0.6,HC,0.056
190,0.8,HC,0.065
190,0.95,HC,0.067
200,0.2,HC,0.149
200,0.3,HC,0.073
200,0.4,HC,0.092
200,0.6,HC,0.077
200,0.8,HC,0.074
200,0.95,HC,0.079
210,0.2,HC,0.048
210,0.3,HC,0.072
210,0.4,HC,0.078
210,0.6,HC,0.088
210,0.8,HC,0.085
210,0.95,HC,0.111
220,0.2,HC,0.328
220,0.3,HC,0.054
220,0.4,HC,0.069
220,0.6,HC,0.084
220,0.8,HC,0.097
220,0.95,HC,0.102
230,0.2,HC,0.154
230,0.3,HC,0.079
230,0.4,HC,0.076
230,0.6,HC,0.103
230,0.8,HC,0.121
230,0.95,HC,0.131
240,0.2,HC,3.054
240,0.3,HC,0.252
240,0.4,HC,0.358
240,0.6,HC,0.114
240,0.8,HC,0.143
240,0.95,HC,0.19
250,0.2,HC,0.217
250,0.3,HC,0.154
250,0.4,HC,0.214
250,0.6,HC,0.133
250,0.8,HC,0.15
250,0.95,HC,0.15
260,0.2,HC,0.64
260,0.3,HC,0.112
260,0.4,HC,0.121
260,0.6,HC,0.145
260,0.8,HC,0.164
260,0.95,HC,0.171
270,0.2,HC,0.275
270,0.3,HC,0.103
270,0.4,HC,0.143
270,0.6,HC,0.162
270,0.8,HC,0.184
270,0.95,HC,0.221
280,0.2,HC,0.414
280,0.3,HC,0.808
280,0.4,HC,0.14
280,0.6,HC,0.173
280,0.8,HC,0.279
280,0.95,HC,0.241
290,0.2,HC,52.903
290,0.3,HC,12.348
290,0.4,HC,0.148
290,0.6,HC,0.218
290,0.8,HC,0.223
290,0.95,HC,0.289
300,0.2,HC,0.407
300,0.3,HC,0.135
300,0.4,HC,0.179
300,0.6,HC,0.296
300,0.8,HC,0.251
300,0.95,HC,0.256
310,0.2,HC,0.169
310,0.3,HC,0.149
310,0.4,HC,0.21
310,0.6,HC,0.244
310,0.8,HC,0.272
310,0.95,HC,0.283
320,0.2,HC,8.888
320,0.3,HC,0.174
320,0.4,HC,0.204
320,0.6,HC,0.468
320,0.8,HC,0.308
320,0.95,HC,0.327
330,0.2,HC,0.133
330,0.3,HC,0.201
330,0.4,HC,0.22
330,0.6,HC,0.286
330,0.8,HC,0.331
330,0.95,HC,0.338
340,0.2,HC,0.909
340,0.3,HC,0.191
340,0.4,HC,0.296
340,0.6,HC,0.332
340,0.8,HC,0.4
340,0.95,HC,0.419
350,0.2,HC,0.249
350,0.3,HC,0.245
350,0.4,HC,0.304
350,0.6,HC,0.352
350,0.8,HC,0.406
350,0.95,HC,0.416
360,0.2,HC,8.685
360,0.3,HC,0.296
360,0.4,HC,1.4
360,0.6,HC,0.387
360,0.8,HC,0.464
360,0.95,HC,0.45
370,0.2,HC,17.626
370,0.3,HC,0.448
370,0.4,HC,0.379
370,0.6,HC,0.463
370,0.8,HC,0.548
370,0.95,HC,0.559
380,0.2,HC,0.89
380,0.3,HC,0.306
380,0.4,HC,0.417
380,0.6,HC,0.513
380,0.8,HC,0.579
380,0.95,HC,0.532
390,0.2,HC,0.925
390,0.3,HC,1.304
390,0.4,HC,0.776
390,0.6,HC,0.596
390,0.8,HC,0.745
390,0.95,HC,0.564
400,0.2,HC,0.474
400,0.3,HC,0.316
400,0.4,HC,0.416
400,0.6,HC,0.53
400,0.8,HC,0.599
400,0.95,HC,0.613
410,0.2,HC,0.247
410,0.3,HC,0.336
410,0.4,HC,0.429
410,0.6,HC,0.546
410,0.8,HC,0.786
410,0.95,HC,0.797
420,0.2,HC,0.415
420,0.3,HC,15.648
420,0.4,HC,0.457
420,0.6,HC,0.613
420,0.8,HC,0.967
420,0.95,HC,0.739
430,0.2,HC,0.289
430,0.3,HC,0.487
430,0.4,HC,0.486
430,0.6,HC,0.637
430,0.8,HC,0.732
430,0.95,HC,0.771
440,0.2,HC,0.375
440,0.3,HC,0.443
440,0.4,HC,0.566
440,0.6,HC,0.737
440,0.8,HC,0.77
440,0.95,HC,0.882
450,0.2,HC,1.793
450,0.3,HC,3.984
450,0.4,HC,0.713
450,0.6,HC,0.789
450,0.8,HC,0.841
450,0.95,HC,0.981
460,0.2,HC,9.609
460,0.3,HC,0.516
460,0.4,HC,0.617
460,0.6,HC,0.789
460,0.8,HC,1.162
460,0.95,HC,1.112
470,0.2,HC,0.487
470,0.3,HC,0.507
470,0.4,HC,0.638
470,0.6,HC,1.032
470,0.8,HC,1.089
470,0.95,HC,1.002
480,0.2,HC,2.97
480,0.3,HC,4.441
480,0.4,HC,0.949
480,0.6,HC,1.155
480,0.8,HC,1.18
480,0.95,HC,1.046
490,0.2,HC,0.501
490,0.3,HC,0.763
490,0.4,HC,0.849
490,0.6,HC,1.013
490,0.8,HC,1.243
490,0.95,HC,1.315
500,0.2,HC,300
500,0.3,HC,1.05
500,0.4,HC,0.808
500,0.6,HC,1.033
500,0.8,HC,1.151
500,0.95,HC,1.34
10,0.2,HC,0
10,0.3,HC,0
10,0.4,HC,0
10,0.6,HC,0
10,0.8,HC,0
10,0.95,HC,0
20,0.2,HC,0.001
20,0.3,HC,0
20,0.4,HC,0
20,0.6,HC,0
20,0.8,HC,0
20,0.95,HC,0
30,0.2,HC,0
30,0.3,HC,0
30,0.4,HC,0
30,0.6,HC,0
30,0.8,HC,0.001
30,0.95,HC,0
40,0.2,HC,0.05
40,0.3,HC,0
40,0.4,HC,0.001
40,0.6,HC,0.001
40,0.8,HC,0.001
40,0.95,HC,0
50,0.2,HC,0.001
50,0.3,HC,0.001
50,0.4,HC,0.001
50,0.6,HC,0.001
50,0.8,HC,0.002
50,0.95,HC,0.001
60,0.2,HC,0.008
60,0.3,HC,0.014
60,0.4,HC,0.002
60,0.6,HC,0.002
60,0.8,HC,0.002
60,0.95,HC,0.002
70,0.2,HC,0.003
70,0.3,HC,0.005
70,0.4,HC,0.002
70,0.6,HC,0.003
70,0.8,HC,0.004
70,0.95,HC,0.004
80,0.2,HC,2.281
80,0.3,HC,0.766
80,0.4,HC,0.003
80,0.6,HC,0.006
80,0.8,HC,0.007
80,0.95,HC,0.005
90,0.2,HC,0.014
90,0.3,HC,0.043
90,0.4,HC,0.004
90,0.6,HC,0.006
90,0.8,HC,0.008
90,0.95,HC,0.007
100,0.2,HC,0.004
100,0.3,HC,0.017
100,0.4,HC,0.009
100,0.6,HC,0.009
100,0.8,HC,0.01
100,0.95,HC,0.01
110,0.2,HC,0.133
110,0.3,HC,0.009
110,0.4,HC,0.01
110,0.6,HC,0.012
110,0.8,HC,0.016
110,0.95,HC,0.014
120,0.2,HC,0.374
120,0.3,HC,0.055
120,0.4,HC,0.011
120,0.6,HC,0.016
120,0.8,HC,0.016
120,0.95,HC,0.016
130,0.2,HC,0.073
130,0.3,HC,0.011
130,0.4,HC,0.014
130,0.6,HC,0.016
130,0.8,HC,0.021
130,0.95,HC,0.022
140,0.2,HC,0.126
140,0.3,HC,0.018
140,0.4,HC,0.021
140,0.6,HC,0.026
140,0.8,HC,0.025
140,0.95,HC,0.027
150,0.2,HC,0.037
150,0.3,HC,0.017
150,0.4,HC,0.032
150,0.6,HC,0.027
150,0.8,HC,0.034
150,0.95,HC,0.035
160,0.2,HC,1.391
160,0.3,HC,0.786
160,0.4,HC,0.027
160,0.6,HC,0.034
160,0.8,HC,0.038
160,0.95,HC,0.052
170,0.2,HC,14.31
170,0.3,HC,0.026
170,0.4,HC,0.078
170,0.6,HC,0.041
170,0.8,HC,0.045
170,0.95,HC,0.047
180,0.2,HC,0.03
180,0.3,HC,0.048
180,0.4,HC,0.036
180,0.6,HC,0.063
180,0.8,HC,0.053
180,0.95,HC,0.056
190,0.2,HC,1.053
190,0.3,HC,0.092
190,0.4,HC,0.054
190,0.6,HC,0.054
190,0.8,HC,0.065
190,0.95,HC,0.094
200,0.2,HC,300
200,0.3,HC,0.19
200,0.4,HC,0.085
200,0.6,HC,0.065
200,0.8,HC,0.074
200,0.95,HC,0.076
210,0.2,HC,0.25
210,0.3,HC,0.069
210,0.4,HC,0.085
210,0.6,HC,0.074
210,0.8,HC,0.099
210,0.95,HC,0.09
220,0.2,HC,2.184
220,0.3,HC,0.079
220,0.4,HC,0.067
220,0.6,HC,0.086
220,0.8,HC,0.1
220,0.95,HC,0.102
230,0.2,HC,91.128
230,0.3,HC,0.085
230,0.4,HC,0.077
230,0.6,HC,0.101
230,0.8,HC,0.126
230,0.95,HC,0.119
240,0.2,HC,0.366
240,0.3,HC,0.07
240,0.4,HC,0.096
240,0.6,HC,0.111
240,0.8,HC,0.136
240,0.95,HC,0.191
250,0.2,HC,0.196
250,0.3,HC,1.126
250,0.4,HC,0.099
250,0.6,HC,0.128
250,0.8,HC,0.161
250,0.95,HC,0.183
260,0.2,HC,13.642
260,0.3,HC,1.793
260,0.4,HC,0.191
260,0.6,HC,0.215
260,0.8,HC,0.239
260,0.95,HC,0.25
270,0.2,HC,0.142
270,0.3,HC,0.157
270,0.4,HC,0.157
270,0.6,HC,0.158
270,0.8,HC,0.213
270,0.95,HC,0.191
280,0.2,HC,0.712
280,0.3,HC,2.667
280,0.4,HC,0.276
280,0.6,HC,0.259
280,0.8,HC,0.281
280,0.95,HC,0.298
290,0.2,HC,0.197
290,0.3,HC,0.194
290,0.4,HC,0.939
290,0.6,HC,0.277
290,0.8,HC,0.328
290,0.95,HC,0.24
300,0.2,HC,0.16
300,0.3,HC,0.174
300,0.4,HC,0.184
300,0.6,HC,0.22
300,0.8,HC,0.26
300,0.95,HC,0.257
310,0.2,HC,0.111
310,0.3,HC,0.221
310,0.4,HC,0.307
310,0.6,HC,0.25
310,0.8,HC,0.276
310,0.95,HC,0.295
320,0.2,HC,1.213
320,0.3,HC,0.4
