n, capacity, method, time, result
22000, 12500, GR, 0.006, 180577
22000, 15000, GR, 0.006, 198923
22000, 17500, GR, 0.006, 215723
22000, 20000, GR, 0.006, 231407
22000, 22500, GR, 0.006, 246163
22000, 25000, GR, 0.006, 260028
23000, 10000, GR, 0.006, 166226
23000, 12500, GR, 0.006, 187202
23000, 15000, GR, 0.007, 206257
23000, 17500, GR, 0.006, 223720
23000, 20000, GR, 0.006, 239982
23000, 22500, GR, 0.007, 255253
23000, 25000, GR, 0.006, 269681
24000, 10000, GR, 0.007, 167186
24000, 12500, GR, 0.007, 188373
24000, 15000, GR, 0.007, 207421
24000, 17500, GR, 0.007, 225004
24000, 20000, GR, 0.007, 241342
24000, 22500, GR, 0.007, 256687
24000, 25000, GR, 0.007, 271266
25000, 10000, GR, 0.007, 174764
25000, 12500, GR, 0.008, 196380
25000, 15000, GR, 0.007, 215864
25000, 17500, GR, 0.007, 233894
25000, 20000, GR, 0.007, 250796
25000, 22500, GR, 0.007, 266651
25000, 25000, GR, 0.007, 281608
26000, 10000, GR, 0.007, 174786
26000, 12500, GR, 0.008, 197232
26000, 15000, GR, 0.007, 217327
26000, 17500, GR, 0.007, 235792
26000, 20000, GR, 0.007, 252975
26000, 22500, GR, 0.007, 269126
26000, 25000, GR, 0.007, 284347
27000, 10000, GR, 0.007, 176486
27000, 12500, GR, 0.008, 198802
27000, 15000, GR, 0.007, 219039
27000, 17500, GR, 0.008, 237683
27000, 20000, GR, 0.007, 255085
27000, 22500, GR, 0.008, 271454
27000, 25000, GR, 0.008, 286959
28000, 10000, GR, 0.008, 178516
28000, 12500, GR, 0.008, 201429
28000, 15000, GR, 0.008, 222278
28000, 17500, GR, 0.008, 241572
28000, 20000, GR, 0.008, 259594
28000, 22500, GR, 0.008, 276543
28000, 25000, GR, 0.007, 292495
29000, 10000, GR, 0.008, 181103
29000, 12500, GR, 0.009, 204609
29000, 15000, GR, 0.008, 225820
29000, 17500, GR, 0.009, 245334
29000, 20000, GR, 0.008, 263484
29000, 22500, GR, 0.009, 280582
29000, 25000, GR, 0.008, 296802
30000, 10000, GR, 0.009, 185792
30000, 12500, GR, 0.008, 208931
30000, 15000, GR, 0.009, 230012
30000, 17500, GR, 0.008, 249384
30000, 20000, GR, 0.009, 267533
30000, 22500, GR, 0.009, 284666
30000, 25000, GR, 0.008, 300881
31000, 10000, GR, 0.009, 185593
31000, 12500, GR, 0.009, 209136
31000, 15000, GR, 0.009, 230504
31000, 17500, GR, 0.009, 250305
31000, 20000, GR, 0.009, 268870
31000, 22500, GR, 0.009, 286399
31000, 25000, GR, 0.008, 303059
32000, 10000, GR, 0.009, 192241
32000, 12500, GR, 0.009, 216578
32000, 15000, GR, 0.01, 238617
32000, 17500, GR, 0.009, 259014
32000, 20000, GR, 0.009, 277962
32000, 22500, GR, 0.009, 295813
32000, 25000, GR, 0.009, 312773
33000, 10000, GR, 0.009, 194455
33000, 12500, GR, 0.01, 219468
33000, 15000, GR, 0.009, 242062
33000, 17500, GR, 0.01, 262895
33000, 20000, GR, 0.009, 282369
33000, 22500, GR, 0.01, 300672
33000, 25000, GR, 0.009, 317983
34000, 10000, GR, 0.01, 196646
34000, 12500, GR, 0.01, 221541
34000, 15000, GR, 0.01, 244012
34000, 17500, GR, 0.01, 264639
34000, 20000, GR, 0.009, 283908
34000, 22500, GR, 0.01, 302021
34000, 25000, GR, 0.01, 319225
35000, 10000, GR, 0.01, 199781
35000, 12500, GR, 0.012, 225120
35000, 15000, GR, 0.01, 248070
35000, 17500, GR, 0.01, 269275
35000, 20000, GR, 0.01, 288993
35000, 22500, GR, 0.01, 307541
35000, 25000, GR, 0.011, 325129
36000, 10000, GR, 0.01, 203058
36000, 12500, GR, 0.01, 229044
36000, 15000, GR, 0.011, 252658
36000, 17500, GR, 0.011, 274228
36000, 20000, GR, 0.01, 294262
36000, 22500, GR, 0.011, 313089
36000, 25000, GR, 0.01, 330965
37000, 10000, GR, 0.01, 206262
37000, 12500, GR, 0.01, 232619
37000, 15000, GR, 0.011, 256460
37000, 17500, GR, 0.011, 278338
37000, 20000, GR, 0.01, 298718
37000, 22500, GR, 0.012, 317948
37000, 25000, GR, 0.01, 336178
38000, 10000, GR, 0.012, 208233
38000, 12500, GR, 0.012, 235127
38000, 15000, GR, 0.011, 259522
38000, 17500, GR, 0.012, 282044
38000, 20000, GR, 0.011, 303044
38000, 22500, GR, 0.012, 322680
38000, 25000, GR, 0.011, 341223
39000, 10000, GR, 0.012, 211529
39000, 12500, GR, 0.012, 238535
39000, 15000, GR, 0.012, 263078
39000, 17500, GR, 0.011, 285568
39000, 20000, GR, 0.012, 306508
39000, 22500, GR, 0.011, 326209
39000, 25000, GR, 0.012, 344818
40000, 10000, GR, 0.012, 213107
40000, 12500, GR, 0.012, 240711
40000, 15000, GR, 0.012, 265402
40000, 17500, GR, 0.012, 288036
40000, 20000, GR, 0.012, 309082
40000, 22500, GR, 0.012, 328908
40000, 25000, GR, 0.012, 347662
41000, 10000, GR, 0.012, 216947
41000, 12500, GR, 0.012, 244450
41000, 15000, GR, 0.013, 269354
41000, 17500, GR, 0.012, 292184
41000, 20000, GR, 0.013, 313514
41000, 22500, GR, 0.012, 333639
41000, 25000, GR, 0.013, 352667
42000, 10000, GR, 0.011, 220807
42000, 12500, GR, 0.013, 248786
42000, 15000, GR, 0.012, 274000
42000, 17500, GR, 0.012, 297298
42000, 20000, GR, 0.013, 318881
42000, 22500, GR, 0.012, 339072
42000, 25000, GR, 0.013, 358104
43000, 10000, GR, 0.013, 220676
43000, 12500, GR, 0.013, 249222
43000, 15000, GR, 0.014, 274971
43000, 17500, GR, 0.013, 298531
43000, 20000, GR, 0.014, 320481
43000, 22500, GR, 0.013, 341095
43000, 25000, GR, 0.014, 360557
44000, 10000, GR, 0.013, 221747
44000, 12500, GR, 0.013, 250619
44000, 15000, GR, 0.013, 276590
44000, 17500, GR, 0.013, 300317
44000, 20000, GR, 0.013, 322416
44000, 22500, GR, 0.013, 343146
44000, 25000, GR, 0.013, 362717
45000, 10000, GR, 0.014, 220654
45000, 12500, GR, 0.013, 249199
45000, 15000, GR, 0.013, 275131
45000, 17500, GR, 0.015, 299046
45000, 20000, GR, 0.014, 321306
45000, 22500, GR, 0.014, 342237
45000, 25000, GR, 0.014, 362027
