n,BS,HS,CS,SHS
2500,0.015,0,0,0.016
5000,0.062,0,0,0.047
7500,0.156,0,0,0.078
10000,0.297,0,0,0.156
12500,0.453,0.016,0,0.234
15000,0.672,0,0,0.344
17500,0.937,0,0,0.469
20000,1.203,0,0,0.609
22500,1.547,0,0,0.765
25000,1.922,0.015,0,0.938
27500,2.343,0,0,1.156
30000,2.843,0,0,1.374
32500,3.359,0,0,1.609
35000,3.921,0,0,1.891
37500,4.561,0.016,0,2.155
40000,5.14,0,0,2.452
42500,5.874,0.015,0,2.734
45000,6.499,0,0,3.078
47500,7.326,0,0,3.421
50000,8.168,0.016,0,3.796
