n,BS,HS,CS,SHS
10000,0.296,0,0,0.157
20000,1.234,0,0,0.609
30000,2.859,0.016,0,1.374
40000,5.187,0,0,2.437
50000,8.139,0.015,0,3.781
60000,11.607,0.015,0,5.374
70000,15.934,0,0,7.42
80000,20.948,0.016,0,9.638
90000,26.182,0.015,0,12.106
100000,32.446,0.015,0,15.028
110000,39.288,0.016,0,18.34
120000,46.944,0.031,0,21.636
130000,54.987,0.031,0,25.579
140000,63.782,0.031,0,29.602
150000,73.123,0.031,0,34.336
