n,BS,HS,CS,SHS
1000,0,0,0,0
3000,0.031,0,0,0.015
5000,0.063,0,0,0.047
7000,0.125,0,0,0.063
9000,0.234,0,0,0.141
11000,0.343,0,0,0.187
13000,0.485,0.015,0,0.25
15000,0.672,0,0,0.344
17000,0.874,0,0,0.438
19000,1.093,0,0,0.547
21000,1.344,0,0,0.671
23000,1.609,0.016,0,0.796
25000,1.922,0,0,0.937
27000,2.265,0,0,1.094
29000,2.609,0,0,1.266
