n,BS,HS,CS,SHS
1000,0,0,0,0
2000,0,0,0,0.016
3000,0.015,0,0,0.016
4000,0.031,0,0,0.031
5000,0.063,0,0,0.031
6000,0.094,0.016,0,0.047
7000,0.14,0,0,0.078
8000,0.172,0.016,0,0.094
9000,0.234,0,0,0.125
10000,0.297,0,0,0.156
11000,0.344,0,0,0.188
12000,0.406,0,0,0.219
13000,0.5,0,0,0.266
14000,0.577,0,0,0.297
15000,0.672,0,0,0.344
